Loan_ID,Gender,Married,Dependents,Education,Employment_Sector,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Credit_Score,State,Bumi_Status,LPPSA_Eligible,Property_Type,Margin,Financing_Type,Interest_Rate,DSR,NDI,Years_Employed,Loan_Status
LPtest0059,Male,No,1,Graduate,Private,5945,0,449043.0,360,1.0,Rural,762,Selangor,Yes,No,Condominium,80,Islamic,4.62,74.4,2052.89,10,Y
LPtest0060,Female,Yes,2,Graduate,Private,4829,0,225000.0,360,0.0,Semiurban,594,Selangor,Yes,No,Semi-D,90,Conventional,4.19,76.74,1446.45,15,N
LPtest0061,Male,No,2,Not Graduate,Private,3742,0,272096.0,360,1.0,Semiurban,723,Negeri Sembilan,Yes,No,Bungalow,90,Conventional,4.18,94.85,585.23,8,N
LPtest0062,Male,No,0,Graduate,Private,5605,0,385246.0,360,1.0,Semiurban,727,Selangor,No,No,Apartment,90,Conventional,4.51,88.12,1146.83,9,N
LPtest0063,Male,Yes,3+,Graduate,Private,3995,0,225000.0,360,1.0,Semiurban,718,Johor,Yes,No,Semi-D,90,Conventional,4.13,85.48,911.27,8,N
LPtest0064,Male,No,0,Graduate,Private,7315,0,607941.0,360,0.0,Semiurban,642,Kuala Lumpur,Yes,No,Semi-D,90,Conventional,4.58,79.05,2265.89,14,N
LPtest0065,Male,No,1,Graduate,Private,5425,0,225000.0,360,1.0,Semiurban,737,Pahang,Yes,No,Condominium,90,Islamic,4.55,75.35,1612.81,2,N
LPtest0066,Male,Yes,1,Not Graduate,Private,2000,0,212500.0,360,1.0,Rural,752,Penang,No,No,Terrace,85,Conventional,4.2,79.76,708.84,4,N
LPtest0067,Male,No,0,Graduate,Private,2985,0,225000.0,360,1.0,Rural,762,Johor,No,No,Apartment,90,Islamic,4.14,66.61,1326.46,5,Y
LPtest0068,Female,No,0,Graduate,Private,3963,0,309724.0,360,0.0,Semiurban,634,Kuala Lumpur,No,No,Condominium,90,Conventional,4.18,90.77,812.44,1,N
LPtest0069,Female,No,0,Not Graduate,Private,4472,0,291096.0,360,1.0,Rural,733,Perak,No,No,Bungalow,90,Islamic,4.59,86.73,942.95,9,N
LPtest0070,Female,No,0,Not Graduate,Private,3903,0,225000.0,360,1.0,Urban,850,Selangor,No,No,Bungalow,90,Islamic,4.28,65.51,1657.51,7,Y
LPtest0071,Female,Yes,3+,Graduate,Private,5109,2806,308688.0,360,0.0,Rural,628,Pahang,Yes,No,Semi-D,90,Islamic,4.57,67.16,2973.51,10,N
LPtest0072,Male,Yes,3+,Graduate,Private,2896,0,212500.0,360,1.0,Rural,693,Kedah,Yes,No,Townhouse,85,Islamic,4.5,90.6,538.78,4,N
LPtest0073,Female,Yes,2,Graduate,Private,6757,5103,366608.0,360,1.0,Semiurban,766,Selangor,Yes,No,Condominium,85,Conventional,4.5,37.55,7865.79,12,Y
LPtest0074,Female,No,0,Graduate,Private,4316,0,320890.0,360,1.0,Semiurban,816,Perak,No,No,Townhouse,90,Conventional,4.16,58.05,2277.26,6,Y
LPtest0075,Female,No,0,Graduate,Private,3417,0,225000.0,360,1.0,Urban,850,Selangor,Yes,No,Terrace,90,Islamic,4.57,63.48,1520.53,4,Y
LPtest0076,Male,No,0,Not Graduate,Private,4765,0,228862.0,360,0.0,Semiurban,631,Selangor,Yes,No,Townhouse,90,Conventional,4.45,63.28,2043.56,13,N
LPtest0077,Male,No,0,Not Graduate,Private,2000,0,212500.0,360,1.0,Semiurban,738,Selangor,No,No,Semi-D,85,Islamic,4.5,104.36,179.25,1,N
LPtest0078,Female,No,0,Graduate,Private,6265,0,402206.0,360,1.0,Semiurban,757,Selangor,Yes,No,Terrace,90,Islamic,4.38,56.78,3240.38,14,Y
LPtest0079,Female,No,0,Graduate,Private,7722,0,348714.0,360,1.0,Urban,694,Selangor,Yes,No,Bungalow,90,Conventional,4.24,66.62,3068.66,14,Y
LPtest0080,Female,No,0,Not Graduate,Private,2831,0,225000.0,360,0.0,Semiurban,578,Kuala Lumpur,Yes,No,Terrace,90,Conventional,4.31,78.48,916.74,11,N
LPtest0081,Female,Yes,0,Graduate,Private,5860,5105,629242.0,360,1.0,Semiurban,717,Penang,Yes,No,Bungalow,90,Islamic,4.65,83.15,2580.41,14,N
LPtest0082,Male,No,1,Graduate,Private,4817,0,225000.0,360,1.0,Rural,713,Penang,Yes,No,Semi-D,90,Conventional,4.13,70.75,1739.9,15,Y
LPtest0083,Female,No,0,Graduate,Private,3143,0,225000.0,360,0.0,Rural,629,Pahang,Yes,No,Condominium,90,Conventional,4.49,76.85,1011.2,1,N
LPtest0084,Male,Yes,3+,Not Graduate,Private,2879,2048,225000.0,360,0.0,Semiurban,608,Selangor,Yes,No,Townhouse,90,Islamic,4.16,65.63,2020.42,5,N
LPtest0085,Female,No,0,Graduate,Private,4453,0,213870.0,360,1.0,Urban,744,Kedah,Yes,No,Apartment,85,Islamic,4.23,80.36,1176.92,5,N
LPtest0086,Female,Yes,0,Graduate,Private,4705,4285,684034.0,360,0.0,Rural,589,Johor,No,No,Townhouse,90,Conventional,4.41,80.42,2654.5,3,N
LPtest0087,Male,Yes,2,Graduate,Private,4830,3878,404541.0,360,1.0,Urban,741,Johor,Yes,No,Condominium,80,Islamic,4.79,63.21,3640.27,13,Y
LPtest0088,Female,Yes,1,Graduate,Private,7819,11498,1424445.0,360,1.0,Rural,745,Selangor,Yes,No,Condominium,85,Conventional,4.3,89.5,3982.09,14,N
LPtest0089,Female,Yes,2,Graduate,Private,6467,0,340456.0,360,1.0,Urban,776,Selangor,No,No,Bungalow,90,Islamic,4.75,60.06,2958.93,7,Y
LPtest0090,Female,No,0,Graduate,Private,8510,0,374825.0,360,1.0,Semiurban,674,Selangor,No,No,Condominium,90,Conventional,4.76,66.11,3296.0,15,Y
LPtest0091,Female,Yes,1,Graduate,Private,8789,4793,818046.0,360,1.0,Rural,681,Kuala Lumpur,Yes,No,Terrace,90,Conventional,4.2,70.95,5116.24,15,Y
LPtest0092,Male,Yes,0,Graduate,Private,4236,0,225000.0,360,1.0,Semiurban,706,Kedah,Yes,No,Semi-D,90,Islamic,4.65,63.92,1790.44,8,Y
LPtest0093,Male,No,0,Graduate,Private,13416,0,771280.0,360,0.0,Rural,550,Johor,No,No,Terrace,90,Islamic,4.54,80.68,3540.37,14,N
LPtest0094,Male,No,0,Not Graduate,Private,4115,0,238519.0,360,0.0,Rural,570,Penang,No,No,Semi-D,90,Conventional,4.55,65.22,1723.16,9,Y
LPtest0095,Female,No,0,Not Graduate,Private,2647,0,225000.0,360,1.0,Urban,787,Selangor,Yes,No,Condominium,90,Conventional,4.75,74.11,933.69,7,N
LPtest0096,Female,No,1,Graduate,Private,5912,2864,486279.0,360,0.0,Rural,642,Pahang,No,No,Terrace,90,Islamic,4.35,56.29,4488.53,11,N
LPtest0097,Female,No,0,Graduate,Private,7479,0,299982.0,360,0.0,Urban,641,Kuala Lumpur,Yes,No,Apartment,90,Islamic,4.65,46.4,4358.3,12,N
LPtest0098,Male,No,0,Not Graduate,Private,3094,0,225000.0,360,1.0,Urban,703,Perak,Yes,No,Bungalow,90,Islamic,4.38,85.45,748.22,6,N
LPtest0099,Female,No,2,Graduate,Private,3043,0,200000.0,360,1.0,Semiurban,850,Perak,Yes,No,Townhouse,80,Conventional,4.24,54.26,1673.39,4,Y
LPtest0100,Female,Yes,3+,Graduate,Private,4837,1500,448129.0,360,1.0,Rural,714,Kedah,No,No,Bungalow,90,Islamic,4.22,75.54,2185.71,5,N
LPtest0101,Female,No,0,Graduate,Private,4263,0,225000.0,360,1.0,Urban,768,Penang,No,No,Semi-D,90,Islamic,4.6,52.93,2275.14,9,Y
LPtest0102,Female,No,0,Graduate,Private,3390,0,226956.0,360,1.0,Rural,690,Selangor,No,No,Condominium,90,Islamic,4.78,75.29,1084.01,6,N
LPtest0103,Female,Yes,3+,Graduate,Private,6050,5282,433136.0,360,0.0,Semiurban,603,Penang,Yes,No,Apartment,80,Islamic,4.29,62.91,4799.85,9,N
LPtest0104,Male,No,0,Not Graduate,Private,3165,0,200000.0,360,1.0,Urban,662,Penang,No,No,Townhouse,80,Conventional,4.64,67.88,1250.63,10,N
LPtest0105,Female,No,0,Graduate,Private,5260,0,299248.0,360,1.0,Semiurban,841,Selangor,Yes,No,Semi-D,90,Conventional,4.21,54.27,2831.64,13,Y
LPtest0106,Female,Yes,2,Graduate,Private,5871,0,229063.0,360,0.0,Semiurban,599,Kuala Lumpur,Yes,No,Condominium,90,Conventional,4.2,46.18,3487.51,9,N
LPtest0107,Female,Yes,3+,Graduate,Private,6453,7255,812308.0,360,1.0,Semiurban,782,Selangor,No,No,Apartment,90,Conventional,4.38,56.6,7025.53,8,Y
LPtest0108,Female,Yes,0,Not Graduate,Private,2000,0,225000.0,360,1.0,Semiurban,661,Selangor,Yes,No,Apartment,90,Conventional,4.38,108.22,133.78,7,N
LPtest0109,Male,Yes,1,Not Graduate,Private,4460,2490,545479.0,360,1.0,Rural,735,Selangor,Yes,No,Bungalow,85,Conventional,4.24,84.88,1818.24,7,Y
LPtest0110,Male,Yes,1,Graduate,Private,6938,0,501777.0,360,0.0,Rural,625,Kuala Lumpur,Yes,No,Semi-D,90,Conventional,4.34,90.56,1331.45,10,N
LPtest0111,Male,No,1,Graduate,Private,6286,0,417264.0,360,0.0,Rural,440,Selangor,No,No,Bungalow,90,Islamic,4.29,81.62,1730.02,13,N
LPtest0112,Female,Yes,0,Not Graduate,Private,2000,1500,225000.0,360,0.0,Urban,600,Penang,Yes,No,Townhouse,90,Islamic,4.39,73.02,1241.01,4,N
LPtest0113,Male,Yes,1,Graduate,Private,9464,0,541547.0,360,0.0,Urban,585,Kedah,No,No,Bungalow,90,Islamic,4.48,76.44,2914.77,11,N
LPtest0114,Male,No,1,Graduate,Private,3242,0,240048.0,360,1.0,Semiurban,710,Melaka,Yes,No,Semi-D,90,Islamic,4.58,81.47,890.27,4,N
LPtest0115,Female,No,1,Not Graduate,Private,6086,0,200000.0,360,0.0,Semiurban,585,Selangor,Yes,No,Semi-D,80,Conventional,4.16,68.49,2208.37,13,N
LPtest0116,Male,Yes,1,Graduate,Private,7796,0,347594.0,360,1.0,Rural,700,Selangor,Yes,No,Condominium,90,Conventional,4.17,58.09,3770.6,10,Y
LPtest0117,Female,No,2,Graduate,Private,4767,0,227921.0,360,1.0,Semiurban,736,Negeri Sembilan,No,No,Condominium,90,Conventional,4.64,69.79,1706.87,13,Y
LPtest0118,Male,Yes,2,Not Graduate,Private,3237,0,242717.0,360,1.0,Rural,651,Pahang,No,No,Townhouse,80,Conventional,4.71,67.67,1320.32,7,Y
LPtest0119,Male,No,0,Graduate,Private,6535,0,469737.0,360,1.0,Urban,669,Perak,No,No,Apartment,90,Conventional,4.6,65.86,2792.31,13,Y
LPtest0120,Female,No,0,Graduate,Private,6000,0,310306.0,360,1.0,Urban,752,Kuala Lumpur,Yes,No,Apartment,80,Islamic,4.1,50.36,3440.32,11,Y
LPtest0121,Female,No,0,Graduate,Private,4506,0,225000.0,360,0.0,Semiurban,600,Selangor,Yes,No,Semi-D,90,Conventional,4.45,78.41,1261.41,1,N
LPtest0122,Male,Yes,0,Not Graduate,Private,6068,1878,417766.0,360,1.0,Rural,687,Kedah,Yes,No,Apartment,90,Islamic,4.74,75.95,2374.68,8,N
LPtest0123,Female,No,0,Graduate,Private,6561,0,532463.0,360,1.0,Rural,722,Perak,Yes,No,Bungalow,90,Islamic,4.48,76.23,2233.35,10,N
LPtest0124,Female,Yes,1,Graduate,Private,4313,2839,387503.0,360,1.0,Rural,660,Penang,No,No,Semi-D,85,Islamic,4.61,66.12,2883.22,9,Y
LPtest0125,Male,Yes,0,Not Graduate,Private,2681,2332,328650.0,360,1.0,Urban,728,Negeri Sembilan,Yes,No,Bungalow,80,Islamic,4.55,74.05,1703.22,8,Y
LPtest0126,Male,No,0,Graduate,Private,4224,0,302878.0,360,1.0,Urban,771,Johor,Yes,No,Condominium,90,Islamic,4.1,55.78,2318.89,9,Y
LPtest0127,Female,No,1,Graduate,Private,4057,0,299148.0,360,1.0,Rural,765,Selangor,No,No,Apartment,90,Islamic,4.56,68.9,1625.93,4,Y
LPtest0128,Female,Yes,1,Graduate,Private,3382,0,233606.0,360,0.0,Urban,633,Penang,Yes,No,Townhouse,85,Conventional,4.2,93.46,555.24,1,N
LPtest0129,Male,No,0,Not Graduate,Private,3085,0,225000.0,360,1.0,Semiurban,759,Kuala Lumpur,Yes,No,Semi-D,90,Conventional,4.76,73.69,1058.65,11,N
LPtest0130,Female,No,0,Graduate,Private,4803,0,262961.0,360,1.0,Rural,698,Johor,Yes,No,Apartment,85,Islamic,4.31,75.83,1519.99,5,N
LPtest0131,Female,Yes,2,Graduate,Private,4454,4255,325656.0,360,1.0,Semiurban,652,Negeri Sembilan,No,No,Apartment,90,Islamic,4.23,51.69,4667.57,6,Y
LPtest0132,Female,Yes,1,Not Graduate,Private,3417,2253,418352.0,360,1.0,Urban,682,Penang,No,No,Condominium,80,Conventional,4.18,96.62,794.8,6,N
LPtest0133,Female,No,0,Graduate,Private,8064,0,394666.0,360,1.0,Semiurban,766,Kuala Lumpur,No,No,Semi-D,85,Conventional,4.43,56.99,3979.48,11,Y
LPtest0134,Male,Yes,1,Graduate,Private,3573,3433,499392.0,360,1.0,Rural,701,Johor,Yes,No,Semi-D,90,Conventional,4.24,71.95,2667.56,1,Y
LPtest0135,Female,No,0,Graduate,Private,7484,0,299043.0,360,1.0,Urban,675,Johor,Yes,No,Terrace,90,Islamic,4.23,71.94,2522.79,12,Y
LPtest0136,Male,No,0,Graduate,Private,6392,0,259230.0,360,1.0,Rural,689,Melaka,Yes,No,Terrace,90,Islamic,4.42,47.45,3696.49,11,Y
LPtest0137,Female,Yes,1,Graduate,Private,6280,5143,679892.0,360,0.0,Urban,634,Johor,No,No,Apartment,90,Conventional,4.4,85.81,2513.47,12,N
LPtest0138,Female,No,0,Graduate,Private,5807,0,332077.0,360,0.0,Semiurban,619,Pahang,Yes,No,Terrace,90,Islamic,4.59,65.14,2422.62,2,N
LPtest0139,Female,No,0,Graduate,Private,3404,0,239483.0,360,1.0,Urban,792,Pahang,Yes,No,Terrace,90,Islamic,4.69,67.37,1383.94,8,N
LPtest0140,Male,No,0,Graduate,Private,8876,0,718625.0,360,1.0,Semiurban,749,Penang,Yes,No,Townhouse,90,Conventional,4.12,99.04,1146.95,15,N
LPtest0141,Male,No,0,Graduate,Private,4467,0,308043.0,360,1.0,Semiurban,699,Selangor,Yes,No,Semi-D,90,Islamic,4.37,85.78,1045.16,4,N
LPtest0142,Male,No,0,Graduate,Private,2368,0,225000.0,360,1.0,Rural,706,Johor,Yes,No,Bungalow,90,Conventional,4.64,80.95,714.52,2,N
LPtest0143,Male,No,0,Graduate,Private,4488,0,318233.0,360,1.0,Urban,778,Kuala Lumpur,No,No,Terrace,90,Conventional,4.21,69.05,1842.33,10,Y
LPtest0144,Female,No,0,Graduate,Private,2966,0,225000.0,360,0.0,Urban,633,Penang,Yes,No,Bungalow,90,Islamic,4.46,71.05,1146.19,2,N
LPtest0145,Female,No,0,Graduate,Private,2815,0,203383.0,360,1.0,Rural,733,Kuala Lumpur,Yes,No,Terrace,80,Islamic,4.5,70.75,1078.28,2,Y
LPtest0146,Female,No,0,Graduate,Private,4137,0,225000.0,360,0.0,Semiurban,634,Kuala Lumpur,Yes,No,Semi-D,90,Conventional,4.54,72.19,1427.23,8,N
LPtest0147,Female,No,1,Graduate,Private,7208,0,612738.0,360,1.0,Rural,719,Pahang,Yes,No,Semi-D,90,Conventional,4.32,102.15,678.54,14,N
LPtest0148,Male,No,0,Graduate,Private,5754,0,225000.0,360,1.0,Semiurban,662,Melaka,Yes,No,Townhouse,90,Islamic,4.51,61.08,2519.96,14,Y
LPtest0149,Female,No,1,Not Graduate,Private,2465,0,225000.0,360,0.0,Semiurban,584,Kuala Lumpur,Yes,No,Apartment,90,Conventional,4.31,85.27,670.36,2,N
LPtest0150,Female,No,2,Graduate,Private,4195,0,338775.0,360,0.0,Rural,642,Kuala Lumpur,Yes,No,Terrace,90,Conventional,4.55,73.59,1522.45,13,N
LPtest0151,Female,No,0,Graduate,Private,2907,0,225000.0,360,1.0,Rural,724,Perak,Yes,No,Condominium,90,Conventional,4.58,75.55,982.08,2,N
LPtest0152,Male,No,1,Graduate,Private,7161,0,246132.0,360,1.0,Urban,768,Johor,Yes,No,Bungalow,80,Conventional,4.2,37.96,4794.58,7,Y
LPtest0153,Female,Yes,2,Graduate,Private,6100,0,411080.0,360,1.0,Semiurban,698,Selangor,Yes,No,Bungalow,90,Islamic,4.22,92.11,1064.41,13,N
LPtest0154,Female,Yes,1,Graduate,Private,4293,0,343814.0,360,1.0,Rural,698,Perak,Yes,No,Apartment,90,Islamic,4.4,70.75,1706.98,11,Y
LPtest0155,Male,No,0,Graduate,Private,4493,0,354867.0,360,1.0,Rural,725,Kuala Lumpur,Yes,No,Apartment,90,Islamic,4.55,87.83,981.13,8,N
LPtest0156,Female,Yes,0,Graduate,Private,3354,0,225000.0,360,1.0,Urban,741,Johor,Yes,No,Townhouse,90,Islamic,4.37,80.29,960.35,6,N
